Temperature___C,Humidity_,Soil_moisture,Reference_evapotranspiration,Evapotranspiration,Crop_Coefficient,Crop_Coefficient_stage,Nitrogen_mgkg,Phosphorus_mgkg,Potassium,Solar_Radiation_ghi,Wind_Speed,Days_of_planted,pH,Water_Demand
31.2,93.6,567.0,563.0000865,236.4600363,0.42,Initial Stage,107,38,53,622.0,2.09,1,3.32,236.46003633
31.2,93.6,567.0,561.1765782,235.6941629,0.42,Initial Stage,107,38,53,622.0,2.09,1,3.77,235.694162844
30.5,74.6,307.0,561.2671696,235.7322112,0.42,Initial Stage,107,38,53,622.0,2.09,3,2.9,235.732211232
30.4,76.6,308.0,559.4477782,234.9680669,0.42,Initial Stage,107,38,53,622.0,2.09,3,7.71,234.968066844
30.4,76.6,308.0,559.4477782,234.9680669,0.42,Initial Stage,107,38,53,622.0,2.09,3,5.11,234.968066844
30.3,77.1,307.0,558.9842386,234.7733802,0.42,Initial Stage,107,38,53,622.0,2.09,3,4.48,234.773380212
30.3,76.5,307.0,559.5170765,234.9971721,0.42,Initial Stage,107,38,53,622.0,2.09,3,4.32,234.99717213
30.3,78.1,307.0,558.1007617,234.4023199,0.42,Initial Stage,107,38,53,622.0,2.09,3,3.77,234.402319914
30.3,78.8,307.0,557.4856889,234.1439893,0.42,Initial Stage,107,38,53,622.0,2.09,3,3.68,234.143989338
30.3,78.8,307.0,557.4856889,234.1439893,0.42,Initial Stage,107,38,53,622.0,2.09,3,3.67,234.143989338
30.2,77.5,308.0,558.6120798,234.6170735,0.42,Initial Stage,107,38,53,622.0,2.09,3,3.95,234.617073516
30.2,77.6,307.0,558.523956,234.5800615,0.42,Initial Stage,107,38,53,622.0,2.09,3,2.17,234.58006152
30.2,77.6,307.0,558.523956,234.5800615,0.42,Initial Stage,107,38,53,622.0,2.09,3,3.28,234.58006152
30.2,78.7,307.0,557.5583169,234.1744931,0.42,Initial Stage,107,38,53,622.0,2.09,3,3.24,234.174493098
30.2,78.5,307.0,557.7333833,234.248021,0.42,Initial Stage,107,38,53,622.0,2.09,3,2.51,234.248020986
30.1,78.5,307.0,557.7170944,234.2411796,0.42,Initial Stage,107,38,53,622.0,2.09,3,3.89,234.241179648
30.1,78.9,307.0,557.3681818,234.0946363,0.42,Initial Stage,107,38,53,622.0,2.09,3,3.15,234.094636356
30.1,80.4,307.0,556.067572,233.5483802,0.42,Initial Stage,107,38,53,622.0,2.09,3,3.02,233.54838024
30.1,78.9,307.0,557.3681818,234.0946363,0.42,Initial Stage,107,38,53,622.0,2.09,3,3.22,234.094636356
30.0,77.6,307.0,558.4861597,234.5641871,0.42,Initial Stage,107,38,53,622.0,2.09,3,3.2,234.564187074
30.0,79.7,307.0,556.658975,233.7967695,0.42,Initial Stage,107,38,53,622.0,2.09,3,3.18,233.7967695
30.0,78.9,307.0,557.3521736,234.0879129,0.42,Initial Stage,107,38,53,622.0,2.09,3,3.31,234.087912912
29.9,77.3,307.0,558.7284838,234.6659632,0.42,Initial Stage,118,42,57,622.0,2.09,3,3.4,234.665963196
29.8,77.0,307.0,558.9691125,234.7670273,0.42,Initial Stage,118,42,57,622.0,2.09,3,3.54,234.76702725
29.7,77.9,307.0,558.1638803,234.4288297,0.42,Initial Stage,118,42,57,622.0,2.09,3,3.33,234.428829726
29.6,77.8,307.0,558.2290113,234.4561847,0.42,Initial Stage,118,42,57,622.0,2.09,3,2.87,234.456184746
29.6,79.1,306.0,557.109354,233.9859287,0.42,Initial Stage,118,42,57,622.0,2.09,3,3.6,233.98592868
29.6,80.6,306.0,555.8288136,233.4481017,0.42,Initial Stage,118,42,57,622.0,2.09,3,3.75,233.448101712
29.5,78.7,306.0,557.4328202,234.1217845,0.42,Initial Stage,118,42,57,622.0,2.09,3,1.75,234.121784484
29.5,80.6,306.0,555.8133991,233.4416276,0.42,Initial Stage,105,37,53,622.0,2.09,3,3.53,233.441627622
29.5,79.7,307.0,556.5780865,233.7627963,0.42,Initial Stage,105,37,53,622.0,2.09,3,3.66,233.76279633
29.4,81.3,307.0,555.2071511,233.1870035,0.42,Initial Stage,105,37,53,622.0,2.09,3,3.59,233.187003462
29.4,79.2,306.0,556.985241,233.9338012,0.42,Initial Stage,105,37,53,622.0,2.09,3,3.61,233.93380122
29.4,79.8,306.0,556.4748348,233.7194306,0.42,Initial Stage,105,37,53,622.0,2.09,3,3.58,233.719430616
29.4,80.7,306.0,555.7128095,233.39938,0.42,Initial Stage,105,37,53,622.0,2.09,3,3.53,233.39937999
29.4,80.7,306.0,555.7128095,233.39938,0.42,Initial Stage,105,37,53,622.0,2.09,3,3.53,233.39937999
29.5,79.2,306.0,557.0047789,233.9420071,0.42,Initial Stage,105,37,53,622.0,2.09,3,3.55,233.942007138
29.5,79.1,307.0,557.0902788,233.9779171,0.42,Initial Stage,105,37,53,622.0,2.09,3,3.51,233.977917096
29.6,79.9,307.0,556.4249029,233.6984592,0.42,Initial Stage,105,37,53,622.0,2.09,3,3.5,233.698459218
29.6,81.9,306.0,554.7286177,232.9860194,0.42,Initial Stage,105,37,53,622.0,2.09,3,3.51,232.986019434
29.7,79.1,306.0,557.1277202,233.9936425,0.42,Initial Stage,105,37,53,622.0,2.09,3,3.56,233.993642484
30.3,75.6,306.0,177.8016721,74.6767023,0.42,Initial Stage,105,37,53,196.0,2.54,3,3.53,74.676702282
30.2,76.7,306.0,177.4826828,74.54272678,0.42,Initial Stage,117,42,58,196.0,2.54,3,3.55,74.542726776
30.2,76.2,306.0,177.6240763,74.60211206,0.42,Initial Stage,117,42,58,196.0,2.54,3,3.53,74.602112046
30.2,74.7,306.0,178.0510627,74.78144634,0.42,Initial Stage,117,42,58,196.0,2.54,3,3.53,74.781446334
30.2,75.8,306.0,177.7375254,74.64976067,0.42,Initial Stage,117,42,58,196.0,2.54,3,3.49,74.649760668
30.2,75.7,306.0,177.7659344,74.66169245,0.42,Initial Stage,117,42,58,196.0,2.54,3,3.52,74.661692448
31.2,95.0,587.0,137.9013149,59.75723646,0.42,Initial Stage,117,42,58,171.0,1.08,5,3.49,57.91855225799999
31.2,95.0,587.0,137.9037365,59.7582858,0.433333333,Initial Stage,117,42,58,171.0,1.08,5,3.49,59.75828577069876
25.9,94.4,309.0,138.0057259,59.80248124,0.433333333,Initial Stage,106,38,53,171.0,1.08,5,3.47,59.802481177331416
26.0,92.6,284.0,138.3170928,59.93740687,0.433333333,Initial Stage,106,38,53,171.0,1.08,5,3.52,59.93740683389431
26.0,95.0,310.0,137.9059826,59.75925913,0.433333333,Initial Stage,106,38,53,171.0,1.08,5,3.47,59.759259080698
25.9,95.0,297.0,137.9037365,59.7582858,0.433333333,Initial Stage,106,38,53,171.0,1.08,5,3.44,59.75828577069876
25.9,98.2,281.0,137.3651502,59.52489844,0.433333333,Initial Stage,106,38,53,171.0,1.08,5,4.81,59.52489837421161
25.9,92.7,265.0,138.2964693,59.92847002,0.433333333,Initial Stage,106,38,54,171.0,1.08,5,3.63,59.92846998390118
28.9,80.4,228.0,30.28080699,13.12168303,0.433333333,Initial Stage,107,37,50,35.0,1.85,5,3.59,13.121683018906396
28.8,80.9,225.0,30.25746596,13.11156858,0.433333333,Initial Stage,107,37,50,35.0,1.85,5,3.6,13.111568572580843
28.8,79.9,314.0,30.30198097,13.13085842,0.433333333,Initial Stage,107,37,50,35.0,1.85,5,3.57,13.130858410232673
30.2,96.3,532.0,30.34677521,13.15026926,0.433333333,Initial Stage,107,37,50,35.0,1.85,5,3.62,13.150269247551076
25.8,95.7,209.0,152.833401,67.24669646,0.433333333,Initial Stage,44,15,22,195.0,1.21,6,3.59,66.22780704905553
25.7,95.0,212.0,152.9593845,67.3021292,0.44,Initial Stage,44,15,22,195.0,1.21,6,3.59,67.30212918
25.8,93.7,214.0,153.2027075,67.40919131,0.44,Initial Stage,44,15,22,195.0,1.21,6,3.58,67.4091913
25.8,95.0,204.0,152.9622154,67.30337479,0.44,Initial Stage,44,15,22,195.0,1.21,6,3.66,67.303374776
25.8,93.7,204.0,153.2027075,67.40919131,0.44,Initial Stage,44,15,22,195.0,1.21,6,3.6,67.4091913
25.8,97.7,204.0,152.4679334,67.08589071,0.44,Initial Stage,44,15,22,195.0,1.21,6,3.6,67.08589069599999
25.9,97.7,587.0,152.4691357,67.0864197,0.44,Initial Stage,44,15,22,195.0,1.21,6,3.67,67.08641970800001
27.4,88.5,587.0,503.8062179,221.6747359,0.44,Initial Stage,107,37,50,642.0,0.65,6,3.6,221.674735876
27.5,88.4,215.0,503.8818152,221.7079987,0.44,Initial Stage,107,37,50,642.0,0.65,6,3.57,221.707998688
27.5,87.5,215.0,504.4701204,221.966853,0.44,Initial Stage,107,37,50,642.0,0.65,6,3.57,221.966852976
27.5,84.6,214.0,506.3866459,222.8101242,0.44,Initial Stage,107,37,50,642.0,0.65,6,3.58,222.810124196
27.5,86.8,215.0,504.9297859,222.1691058,0.44,Initial Stage,107,37,50,642.0,0.65,6,3.61,222.169105796
27.4,83.9,213.0,506.8349849,223.0073933,0.44,Initial Stage,107,37,50,642.0,0.65,6,3.56,223.007393356
27.4,80.8,215.0,508.9231844,223.9262012,0.44,Initial Stage,107,37,50,642.0,0.65,6,3.57,223.926201136
27.5,83.6,214.0,507.0551137,223.10425,0.44,Initial Stage,107,37,50,642.0,0.65,6,3.56,223.104250028
27.5,81.5,213.0,508.472036,223.7276958,0.44,Initial Stage,107,37,50,642.0,0.65,6,3.54,223.72769584
27.5,86.3,213.0,505.2592541,222.3140718,0.44,Initial Stage,107,37,50,642.0,0.65,6,3.57,222.314071804
27.4,82.3,215.0,507.9078556,223.4794565,0.44,Initial Stage,107,37,50,642.0,0.65,6,3.55,223.479456464
27.5,86.3,213.0,505.2592541,222.3140718,0.44,Initial Stage,107,37,50,642.0,0.65,6,3.55,222.314071804
28.8,78.3,268.0,35.96095444,15.82281995,0.44,Initial Stage,107,37,50,43.0,1.93,6,3.53,15.822819953600002
28.8,78.2,265.0,35.96618254,15.82512032,0.44,Initial Stage,107,37,50,43.0,1.93,6,3.56,15.8251203176
28.8,78.9,265.0,35.92965567,15.80904849,0.44,Initial Stage,107,37,50,43.0,1.93,6,3.54,15.8090484948
28.8,77.9,267.0,35.9818869,15.83203024,0.44,Initial Stage,107,37,50,43.0,1.93,6,3.53,15.832030236
28.8,78.1,268.0,35.97141397,15.82742215,0.44,Initial Stage,107,37,50,43.0,1.93,6,3.58,15.8274221468
28.8,79.0,265.0,35.92445078,15.80675834,0.44,Initial Stage,107,37,50,43.0,1.93,6,3.53,15.8067583432
28.8,78.9,265.0,35.92965567,15.80904849,0.44,Initial Stage,107,37,50,43.0,1.93,6,3.57,15.8090484948
28.8,77.0,266.0,36.02918218,15.85284016,0.44,Initial Stage,107,37,50,43.0,1.93,6,3.54,15.8528401592
28.7,78.5,268.0,35.94888618,15.81750992,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.51,15.8175099192
28.7,77.6,265.0,35.99586431,15.8381803,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.57,15.8381802964
28.7,78.5,265.0,35.94888618,15.81750992,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.54,15.8175099192
28.7,78.5,265.0,35.94888618,15.81750992,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.54,15.8175099192
28.8,81.2,268.0,35.81076498,15.75673659,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.59,15.7567365912
28.7,80.5,265.0,35.84544444,15.77199555,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.55,15.7719955536
28.7,80.0,265.0,35.87118336,15.78332068,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.6,15.7833206784
28.7,78.6,266.0,35.94368304,15.81522054,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.55,15.815220537600002
28.7,78.3,265.0,35.95930241,15.82209306,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.53,15.8220930604
28.7,79.8,265.0,35.88150143,15.78786063,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.61,15.7878606292
28.7,78.3,265.0,35.95930241,15.82209306,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.59,15.8220930604
28.7,79.0,268.0,35.92290347,15.80607752,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.59,15.8060775268
28.6,78.3,266.0,35.95760778,15.82134742,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.58,15.8213474232
28.7,78.5,265.0,35.94888618,15.81750992,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.63,15.8175099192
28.7,78.0,265.0,35.97495172,15.82897876,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.61,15.8289787568
28.7,77.1,268.0,36.02208094,15.84971561,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.59,15.8497156136
28.7,79.6,265.0,35.89183242,15.79240627,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.59,15.7924062648
28.7,79.0,264.0,35.92290347,15.80607752,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.61,15.8060775268
